id_fkt,fkt,firaisana,distrika
117450003,Zafimbazahakely,Ambalavao,Antananarivo Atsimondrano
104010006,Voninahitrinitany II,Ankazobe,Ankazobe
104010015,Voninahitrinitany I,Ankazobe,Ankazobe
104072005,Voninahitrinitany,Marondry,Ankazobe
117090003,Vonelina,Fiombonana,Antananarivo Atsimondrano
117170004,Volotara Firaisana,Andoharanofotsy,Antananarivo Atsimondrano
101002007,Volosarika Ambanidia,2e Arrondissement,2e Arrondissement
106271006,Volazato,Ambohitseheno,Manjakandriana
106011010,Volavy Gara,Manjakandriana,Manjakandriana
104110005,Volaniray,Mahavelona,Ankazobe
107310006,Vohitsara,Ambohibary Vohilena,Anjozorobe
107130003,Vohitrandriana,Ambohimanarina Marovazaha,Anjozorobe
107110007,Vodivato,Tsarasaotra,Anjozorobe
103390010,Vatovandana,Ambato,Ambohidratrimo
117430011,Vatovaky,Tsiafahy,Antananarivo Atsimondrano
115071015,Vatosoa,Alatsinainy Bakaro,Andramasina
103210012,Vangaina,Ampanotokana,Ambohidratrimo
102319010,Vakinampasika,Ambohimanga Rova,Antananarivo Avaradrano
117330003,Vahilava,Soavina,Antananarivo Atsimondrano
107190006,Tsivakiana,Analaroa,Anjozorobe
106371004,Tsitiabedy,Ambohitrolomahitsy,Manjakandriana
104090011,Tsitakondaza,Fihaonana,Ankazobe
104010011,Tsisangaina,Ankazobe,Ankazobe
104130008,Tsinjorano,Fiadanana,Ankazobe
104150012,Tsinjorano,Tsaramasoandro,Ankazobe
105130009,Tsinjorano,Imerintsiatosika,Arivonimamo
104090002,Tsimiamboholahy,Fihaonana,Ankazobe
101004013,Tsimialonjafy,4e Arrondissement,4e Arrondissement
104090005,Tsimialona,Fihaonana,Ankazobe
104110011,Tsilokana,Mahavelona,Ankazobe
117350004,Tsilazaina,Ambohijanaka,Antananarivo Atsimondrano
106271008,Tsifenokova,Ambohitseheno,Manjakandriana
106310010,Tsiazompaniry,Merikanjaka,Manjakandriana
104150011,Tsiazokararo,Tsaramasoandro,Ankazobe
104110009,Tsiaverindoa,Mahavelona,Ankazobe
104210012,Tsiafahy,Kiangara,Ankazobe
117430014,Tsiafahy,Tsiafahy,Antananarivo Atsimondrano
101002006,Tsiadana,2e Arrondissement,2e Arrondissement
105130012,Tsenamasoandro,Imerintsiatosika,Arivonimamo
103090008,Tsarazaza Andriantany,Iarinarivo,Ambohidratrimo
105130003,Tsarazaza,Imerintsiatosika,Arivonimamo
106271007,Tsarazaza,Ambohitseheno,Manjakandriana
115170003,Tsarazaza,Anosibe Trimoloharano,Andramasina
117110003,Tsarazaza,Itaosy,Antananarivo Atsimondrano
104110004,Tsaratobisoa,Mahavelona,Ankazobe
105170003,Tsaratanana,Ambatomirahavavy,Arivonimamo
103171014,Tsarasaotra,Merimandroso,Ambohidratrimo
106050006,Tsarasaotra,Ambohibary,Manjakandriana
106352006,Tsarasaotra,Soavinandriana,Manjakandriana
107110003,Tsarasaotra,Tsarasaotra,Anjozorobe
115091011,Tsarasaotra,Ambohimiadana,Andramasina
117210002,Tsararirinina,Soalandy,Antananarivo Atsimondrano
102279004,Tsararay,Fiaferana,Antananarivo Avaradrano
104090008,Tsaramivondrona,Fihaonana,Ankazobe
104030009,Tsaramasoandro,Talata Angavo,Ankazobe
104150001,Tsaramasoandro,Tsaramasoandro,Ankazobe
101003007,Tsaramasay,3e Arrondissement,3e Arrondissement
103030011,Tsaramandroso Namontana,Anosiala,Ambohidratrimo
107350003,Tsaramandroso,Marotsipoy,Anjozorobe
115091012,Tsaramandroso,Ambohimiadana,Andramasina
103030006,Tsarahonenana Ivoanjo,Anosiala,Ambohidratrimo
101005025,Tsarahonenana,5e Arrondissement,5e Arrondissement
102379027,Tsarahonenana,Talata Volonondry,Antananarivo Avaradrano
102410002,Tsarahonenana,Masindray,Antananarivo Avaradrano
103150025,Tsarahonenana,Mahitsy,Ambohidratrimo
103370007,Tsarahonenana,Ambohipihaonana,Ambohidratrimo
104072006,Tsarahonenana,Marondry,Ankazobe
104210006,Tsarahonenana,Kiangara,Ankazobe
106012007,Tsarahonenana,Ambatolaona,Manjakandriana
106190002,Tsarahonenana,Anjepy,Manjakandriana
106351026,Tsarahonenana,Ankazondandy,Manjakandriana
107230009,Tsarahonenana,Ambatomanoina,Anjozorobe
117311008,Tsarahonenana,Fenoarivo,Antananarivo Atsimondrano
102099008,Tsarahasina,Ambohimangakely,Antananarivo Avaradrano
101004016,Tsarafaritra,4e Arrondissement,4e Arrondissement
105130017,Tsarafaritra,Imerintsiatosika,Arivonimamo
102079017,Tsarafara,Sabotsy Namehana,Antananarivo Avaradrano
117370005,Tongoloina,Ampahitrosy,Antananarivo Atsimondrano
117150005,Tongarivo Mandroso,Tanjombato,Antananarivo Atsimondrano
104110008,Telomirefy,Mahavelona,Ankazobe
115130004,Tankasina,Fitsinjovana Bakaro,Andramasina
115092001,Tankafatra Sud,Tankafatra,Andramasina
115092003,Tankafatra Nord,Tankafatra,Andramasina
115092002,Tankafatra Centre,Tankafatra,Andramasina
103090009,Tanjondroa,Iarinarivo,Ambohidratrimo
103050007,Tanjondava,Talatamaty,Ambohidratrimo
102050008,Tanjonandriana,Ambohimanambola,Antananarivo Avaradrano
